box_id,box_type,box_name_ja,jfct_code,jfct_group_no,jfct_group_ja,residual_q,n_records,n_source_A,n_source_B,n_source_C,n_layer_A,n_layer_B,n_layer_C,energy_kcal_n,energy_kcal_mean,energy_kcal_sd,protein_g_n,protein_g_mean,protein_g_sd,fat_g_n,fat_g_mean,fat_g_sd,carbohydrate_g_n,carbohydrate_g_mean,carbohydrate_g_sd,salt_equiv_g_n,salt_equiv_g_mean,salt_equiv_g_sd
04029,P,だいず ［全粒・全粒製品］ きな粉 黄大豆 全粒大豆,04029,4,豆類,0,10,4,6,0,10,0,0,10,452.0,6.36,10,36.75,3.97,10,22.83,2.75,10,32.86,6.93,10,0.0,0.0
04032,P,だいず ［豆腐・油揚げ類］ 木綿豆腐,04032,4,豆類,0,37,22,14,1,37,0,0,37,75.57,8.76,37,6.63,0.97,37,4.53,0.72,35,2.19,0.41,37,0.02,0.03
04033,P,だいず ［豆腐・油揚げ類］ 絹ごし豆腐,04033,4,豆類,0,32,18,14,0,32,0,0,32,62.32,4.37,32,5.27,0.36,32,3.59,0.44,30,2.32,0.79,32,0.02,0.03
04035,P,だいず ［豆腐・油揚げ類］ 充てん豆腐,04035,4,豆類,0,49,28,19,2,49,0,0,49,60.88,5.24,49,5.28,0.62,49,3.39,0.45,49,2.39,0.41,48,0.04,0.04
04037,P,だいず ［豆腐・油揚げ類］ ゆし豆腐,04037,4,豆類,0,5,2,3,0,5,0,0,5,57.87,22.35,5,5.15,1.61,5,3.32,1.53,5,2.08,0.44,5,0.1,0.1
04038,P,だいず ［豆腐・油揚げ類］ 焼き豆腐,04038,4,豆類,0,3,0,3,0,3,0,0,3,87.0,6.24,3,7.97,0.7,3,5.17,0.51,3,2.47,0.25,3,0.1,0.0
04039,P,だいず ［豆腐・油揚げ類］ 生揚げ,04039,4,豆類,0,17,10,7,0,17,0,0,17,141.56,22.85,17,8.53,2.51,17,9.81,2.18,17,4.87,2.37,17,0.07,0.06
04040,P,だいず ［豆腐・油揚げ類］ 油揚げ 生,04040,4,豆類,0,28,12,15,1,27,1,0,28,331.93,60.58,28,19.22,3.45,28,27.53,5.91,28,2.13,1.72,28,0.0,0.01
04041,P,だいず ［豆腐・油揚げ類］ がんもどき,04041,4,豆類,0,11,10,0,1,11,0,0,11,241.57,30.21,11,16.53,4.22,11,16.21,1.79,11,7.27,3.0,11,0.82,0.1
04042,P,だいず ［豆腐・油揚げ類］ 凍り豆腐 乾,04042,4,豆類,0,8,8,0,0,8,0,0,8,477.7,41.26,8,40.15,7.61,8,24.15,7.83,8,24.52,14.22,8,4.32,2.39
04043,P,だいず ［豆腐・油揚げ類］ 豆腐よう,04043,4,豆類,0,1,0,0,1,1,0,0,1,122.0,,1,8.5,,1,4.6,,1,11.4,,1,6.9,
04046,P,だいず ［納豆類］ 糸引き納豆,04046,4,豆類,0,48,30,18,0,48,0,0,48,178.72,17.0,48,14.16,3.17,48,8.1,1.97,48,12.76,3.03,48,0.88,0.47
04047,P,だいず ［納豆類］ 挽きわり納豆,04047,4,豆類,0,6,4,2,0,6,0,0,6,188.95,11.07,6,15.53,0.89,6,8.92,0.84,6,13.0,0.85,6,1.25,0.09
04052,P,だいず ［その他］ 豆乳 豆乳,04052,4,豆類,0,11,5,6,0,11,0,0,4,56.72,10.49,4,5.18,0.91,4,2.86,0.49,4,2.56,0.69,4,0.0,0.0
04053,P,だいず ［その他］ 豆乳 調製豆乳,04053,4,豆類,0,12,4,8,0,12,0,0,4,47.62,7.86,4,3.24,0.26,4,2.4,0.81,4,3.68,1.67,4,0.2,0.03
04054,P,だいず ［その他］ 豆乳 豆乳飲料・麦芽コーヒー,04054,4,豆類,0,20,7,12,1,20,0,0,9,52.53,17.47,9,2.77,1.22,9,2.47,0.88,9,4.8,2.95,9,0.16,0.04
04055,P,だいず ［その他］ 大豆たんぱく 粒状大豆たんぱく,04055,4,豆類,0,4,0,1,3,4,0,0,3,295.0,2.65,3,26.9,1.01,3,17.67,0.4,3,7.1,0.26,3,2.1,0.17
04059,P,だいず ［その他］ 湯葉 生,04059,4,豆類,0,2,0,0,2,2,0,0,2,204.5,13.44,2,20.85,2.76,2,12.25,0.21,2,2.65,0.21,2,0.11,0.13
04063,P,だいず ［その他］ テンペ,04063,4,豆類,0,1,0,0,1,1,0,0,1,179.0,,1,16.0,,1,11.0,,1,7.1,,1,0.05,
04066,P,ひよこまめ 全粒 ゆで,04066,4,豆類,0,6,0,2,4,6,0,0,6,127.36,47.59,6,7.78,3.05,6,2.32,1.21,6,20.95,7.53,6,0.54,0.18
04077,P,だいず ［全粒・全粒製品］ 全粒 黒大豆 国産 乾,04077,4,豆類,0,3,2,0,1,3,0,0,3,408.0,31.43,3,34.03,2.08,3,20.07,2.76,3,31.87,3.79,3,0.0,0.0
04081,P,だいず ［全粒・全粒製品］ 蒸し大豆 黄大豆,04081,4,豆類,0,18,10,6,2,18,0,0,18,166.31,29.6,18,14.24,2.04,18,7.45,2.31,18,13.03,3.4,18,0.26,0.23
04089,P,だいず ［その他］ おから 乾燥,04089,4,豆類,0,2,0,2,0,2,0,0,2,337.0,5.66,2,23.2,2.55,2,14.8,0.0,2,52.35,2.76,2,0.02,0.02
04095,P,だいず ［豆腐・油揚げ類］ 油揚げ 甘煮,04095,4,豆類,0,14,7,7,0,14,0,0,14,238.14,54.78,14,12.01,3.92,14,13.12,3.39,14,18.41,7.14,14,1.37,1.09
04101,P,あずき あん こし練りあん （並あん）,04101,4,豆類,0,6,2,2,2,6,0,0,6,257.17,5.78,6,4.92,0.45,6,0.32,0.1,6,59.28,1.4,6,0.02,0.03
04110,P,だいず ［全粒・全粒製品］ きな粉（砂糖入り） きな粉,04110,4,豆類,0,3,2,1,0,3,0,0,3,440.33,43.1,3,26.01,8.06,3,19.26,10.01,3,46.5,19.18,3,0.17,0.29
05002,P,アーモンド フライ 味付け,05002,5,種実類,0,14,1,11,2,14,0,0,14,591.45,64.42,14,20.3,5.36,14,46.3,11.02,14,27.29,10.82,14,0.68,0.38
05005,P,カシューナッツ フライ 味付け,05005,5,種実類,0,21,2,15,4,21,0,0,21,612.58,9.29,21,18.45,1.06,21,47.88,1.1,21,28.56,1.37,20,0.22,0.25
05009,P,ぎんなん ゆで,05009,5,種実類,0,2,0,1,1,2,0,0,2,147.0,9.9,2,3.15,0.21,2,1.1,0.14,2,31.75,1.06,2,0.5,0.14
05011,P,（くり類） 日本ぐり ゆで,05011,5,種実類,0,2,1,1,0,2,0,0,2,162.36,3.33,2,3.34,0.9,2,0.66,0.52,2,36.5,1.41,2,0.0,0.0
05012,P,（くり類） 日本ぐり 甘露煮,05012,5,種実類,0,2,2,0,0,2,0,0,2,240.0,0.0,2,1.2,0.0,2,0.4,0.0,2,57.9,0.0,2,0.0,0.0
05013,P,（くり類） 中国ぐり 甘ぐり,05013,5,種実類,0,12,2,8,2,12,0,0,9,158.24,14.44,9,3.93,0.07,9,0.98,0.06,9,36.01,1.77,9,0.0,0.0
05014,P,くるみ いり,05014,5,種実類,0,14,3,10,1,14,0,0,14,707.28,37.88,14,13.54,1.62,14,67.08,7.81,14,14.51,8.47,14,0.02,0.06
05018,P,ごま いり,05018,5,種実類,0,38,21,16,1,38,0,0,38,640.37,50.29,38,19.44,2.43,38,56.3,4.67,38,16.61,1.6,38,1.43,6.15
05026,P,ピスタチオ いり 味付け,05026,5,種実類,0,11,2,7,2,11,0,0,11,607.65,31.2,11,20.47,1.94,11,47.73,5.61,11,26.56,6.41,11,0.53,0.57
05027,P,ひまわり フライ 味付け,05027,5,種実類,0,7,0,1,6,7,0,0,7,638.29,30.74,7,27.39,4.08,7,52.77,6.33,7,14.74,3.0,7,1.25,1.04
